jobDate,jobHref,jobLocation,jobPlan,jobTitle,jobType,jobWay
5月9日至5月31日,/show-3878-42808.html,毕节,17人,贵州黄牛产业集团威宁自治县有限责任公司2023年公开招聘方案,国有企业劳务派遣,电子邮件,,
5月22日至6月5日,/show-3882-46111.html,黔西南,1人,晴隆县妇女联合会2023年招聘公益性岗位人员公告,政府机关临时聘用,电子邮件,,
5月20日至5月31日,/show-3857-46110.html,贵阳,2人,贵阳市南明区2023年公开选聘区管国有企业职业经理人公告,国有企业合同制,电子邮件,,
5月22日至5月28日,/show-3857-27995.html,贵阳,8人,清镇市妇幼保健院2023年招聘编外聘用人员简章,事业单位编外合同,电子邮件,,
5月22日至12月31日,/show-3857-45475.html,贵阳,2人,贵阳市南明妇幼保健院2023年招聘工作人员启事,事业单位编外合同,电子邮件,,
5月23日至5月26日,/show-3866-42284.html,安顺,1人,国家统计局西秀调查队2023年招聘公益性岗位人员公告,政府机关临时聘用,电子邮件,,
5月21日起,/show-3890-38270.html,黔南,70人,都匀市阳光未来外国语学校2023年招聘简章,民营企业合同制,电子邮件,,
5月22日至5月31日,/show-4018-46108.html,贵州省直,60人,贵州警察学院2023年公开招聘科研助理方案,事业单位临时聘用,电子邮件,,
不限,/show-3862-46109.html,遵义,110人,桐梓县2023年公开招聘公益性岗位人员公告,政府机关临时聘用,现场报名,,
5月19日至6月20日,/show-4018-22782.html,贵州省直,1人,中国联通贵州省分公司本部办公室2023年5月公开招聘综合文秘启事,国有企业合同制,电子邮件,,
5月29日至5月31日,/show-3857-46107.html,贵阳,3人,贵州开阳文旅投资开发有限公司2023年专业人才招聘简章,国有企业合同制,电子邮件,,
6月5日至6月7日,/show-3857-46104.html,贵阳,79人,开阳县2023年公开招聘事业单位工作人员简章,事业单位编内正式,网络报名,7月1日,
5月19日起,/show-3862-35502.html,遵义,20人,遵义软件园爱豆云科技有限责任公司2023年招聘简章,其它合同制,电子邮件,,
5月26日至5月28日,/show-3882-46102.html,黔西南,5人,册亨县源泉供水有限责任公司2023年面向社会公开招聘工作人员的公告,国有企业合同制,电子邮件,,
5月26日至5月28日,/show-3882-46101.html,黔西南,18人,册亨县思源供水有限责任公司2023年面向社会公开招聘工作人员的公告,国有企业合同制,电子邮件,,
5月24日至5月26日,/show-3857-46100.html,贵阳,2人,清镇市劳动保障综合行政执法大队2023年协理员招聘简章,政府机关临时聘用,现场报名,,
5月30日至6月1日,/show-4018-46099.html,贵州省直,7人,贵州省妇幼保健院2023年公开招聘工作人员方案,事业单位编内正式,网络报名,6月17日,
5月27日至5月28日,/show-3878-46106.html,毕节,5人,织金县发展和改革局下属事业单位2023年面向全县公开考调工作人员实施方案,事业单位编内正式,现场报名,6月3日,
6月1日至6月3日,/show-4018-46098.html,贵州省直,36人,贵州轻工职业技术学院2023年公开招聘事业单位工作人员方案,事业单位编内正式,网络报名,6月17日,
5月22日至5月26日,/show-3882-46105.html,黔西南,1人,晴隆县司法局2023年招聘法律援助志愿者公告,政府机关临时聘用,现场报名,,
5月19日起,/show-3890-34735.html,黔南,14人,贵州九八五教育集团2023年招聘校长助理公告,民营企业合同制,电子邮件,,
不限,/show-3862-46103.html,遵义,7人,务川自治县审计局、妇幼保健院、石朝乡人民政府2023年公开招聘城镇公益性岗位人员简章,政府机关临时聘用,现场报名,,
